,brand,device_name,model,color,ram,rom,is_5g,processor_brand,processor,display_size,frontcamera,backcamera,battery,price,ratings
658,Samsung,Samsung Galaxy A15 5G , Galaxy A15 5G ,Light Blue,8,128,True,Mediatek,Mediatek Dimensity 6100+ ,6.5 , 13MP ,50MP + 5MP + 2MP ,5000,17900,3431
660,Oppo,Oppo F27 Pro+ , F27 Pro+ ,Midnight Navy,8,128,False,Mediatek,Mediatek Dimensity 7050 ,6.7 , 8MP ,64MP + 2MP ,5000,25999,3684
662,Motorola,Motorola e40 , e40 ,Carbon Gray,4,64,False,Unisoc,Unisoc UNISOC T700 ,6.5 , 8MP ,48MP + 2MP + 2MP ,5000,7079,90179
663,Oppo,Oppo F27 5G , F27 5G ,Amber Orange,8,256,True,Mediatek,Mediatek Dimensity 6300 ,6.67 , 32MP ,50MP + 2MP ,5000,22999,1200
664,Oppo,Oppo F27 Pro+ , F27 Pro+ ,Midnight Navy,8,256,False,Mediatek,Mediatek Dimensity 7050 ,6.7 , 8MP ,64MP + 2MP ,5000,27999,3684
665,Redmi,Redmi 14C 5G , 14C 5G ,Stardust Purple,4,128,True,Snapdragon,Snapdragon 4 Gen 2 5G ,6.88 , 8MP ,50MP Rear Camera ,5160,11299,152
666,Vivo,Vivo Y16 , Y16 ,Steller Black,4,64,False,Mediatek,Mediatek Helio P35 ,6.51 , 5MP ,13MP + 2MP ,5000,8999,8281
667,Redmi,Redmi Note 14 Pro 5G , Note 14 Pro 5G ,Ivy Green,8,256,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,26999,1219
668,Vivo,Vivo X80 Pro , X80 Pro ,Cosmic Black,12,256,False,Snapdragon, Snapdragon 8 Gen 1 Mobile Platform ,6.78 , 32MP ,50MP + 48MP + 12MP + 8MP ,4700,41966,1002
669,Redmi,Redmi Note 13 5G , Note 13 5G ,Prism Gold,6,128,True,Mediatek,Mediatek Dimensity 6080 ,6.67 , 16MP ,108MP + 2MP ,5000,14999,27310
670,Redmi,Redmi Note 14 Pro 5G , Note 14 Pro 5G ,Titan Black,8,128,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,24999,1219
672,Samsung,Samsung Galaxy S25 Ultra 5G , Galaxy S25 Ultra 5G ,Titanium Gray,12,512,True,Snapdragon,Snapdragon 8 Elite for Galaxy ,6.9 , 12MP ,200MP + 50MP + 50MP + 10MP ,5000,129999,1200
673,Oppo,Oppo F27 5G , F27 5G ,Amber Orange,8,256,True,Mediatek,Mediatek Dimensity 6300 ,6.67 , 32MP ,50MP + 2MP ,5000,22999,3684
674,Oppo,Oppo F27 Pro+ , F27 Pro+ ,Midnight Navy,8,256,False,Mediatek,Mediatek Dimensity 7050 ,6.7 , 8MP ,64MP + 2MP ,5000,27999,8281
675,Vivo,Vivo Y16 , Y16 ,Steller Black,4,64,False,Mediatek,Mediatek Helio P35 ,6.51 , 5MP ,13MP + 2MP ,5000,8999,4885
676,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,27310
677,Redmi,Redmi Note 13 5G , Note 13 5G ,Prism Gold,6,128,True,Mediatek,Mediatek Dimensity 6080 ,6.67 , 16MP ,108MP + 2MP ,5000,14999,540
678,Oppo,Oppo A3 5G , A3 5G ,Ocean Blue,6,128,True,Mediatek,Mediatek Dimensity 6300 ,6.67 , 5MP ,50MP Rear Camera ,5100,14999,3684
679,Oppo,Oppo F27 Pro+ , F27 Pro+ ,Midnight Navy,8,128,False,Mediatek,Mediatek Dimensity 7050 ,6.7 , 8MP ,64MP + 2MP ,5000,25999,701
680,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Titan Black,12,512,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,35999,1662
682,Vivo,Vivo Y18t , Y18t ,Space Black,4,128,False,Unisoc,Unisoc T612 ,6.56 , 8MP ,50MP + 0.08MP ,5000,9499,33371
683,Redmi,Redmi Note 13 Pro 5G , Note 13 Pro 5G ,Midnight Black,8,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,200MP (OIS) + 8MP + 2MP ,5100,21999,55
685,Redmi,Redmi Note 13 Pro 5G , Note 13 Pro 5G ,Midnight Black,12,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,200MP (OIS) + 8MP + 2MP ,5100,22499,770
686,Samsung,Samsung Galaxy Z Flip5 , Galaxy Z Flip5 ,Mint,8,512,False,Snapdragon,Snapdragon 8 Gen 2 ,6.7 , 10MP ,12MP + 12MP ,3700,74999,1219
687,Redmi,Redmi Note 14 Pro 5G , Note 14 Pro 5G ,Titan Black,8,256,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,26999,10121
688,Poco,Poco F6 5G , F6 5G ,Black,8,256,True,Snapdragon,Snapdragon 8s Gen3 ,6.67 , 20MP ,50MP (OIS) + 8MP ,5000,29999,5719
689,Poco,Poco F6 5G , F6 5G ,Black,12,256,True,Snapdragon,Snapdragon 8s Gen3 ,6.67 , 20MP ,50MP (OIS) + 8MP ,5000,26999,1219
690,Redmi,Redmi Note 14 Pro 5G , Note 14 Pro 5G ,Titan Black,8,128,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,24999,1607
691,Samsung,Samsung Galaxy S24 5G , Galaxy S24 5G ,Marble Gray,8,128,True,Exynos,Exynos 2400 ,6.2 , 12MP ,50MP + 10MP + 12MP ,4000,54999,70039
692,Poco,Poco C61 , C61 ,Mystical Green,4,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,5999,99431
693,Realme,Realme 12x 5G , 12x 5G ,Coral Red,6,128,True,Mediatek,Mediatek Dimensity 6100+ ,6.72 , 8MP ,50MP + 2MP ,5000,12499,34289
694,Infinix,Infinix Note 40 Pro 5G , Note 40 Pro 5G ,Gold,8,256,True,Mediatek,Mediatek Dimensity 7020 ,6.78 , 32MP ,108MP (OIS) + 2MP + 2MP ,5000,19999,47171
695,Motorola,Motorola G9 , G9 ,Sapphire Blue,4,64,False,Snapdragon, Snapdragon 662 ,6.5 , 8MP ,48MP + 2MP + 2MP ,5000,7478,0
696,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
697,Redmi,Redmi 14C 5G , 14C 5G ,Stargaze Black,6,128,True,Snapdragon,Snapdragon 4 Gen 2 5G ,6.88 , 8MP ,50MP Rear Camera ,5160,12289,386
698,Redmi,Redmi 14C 5G , 14C 5G ,Starlight Blue,6,128,True,Snapdragon,Snapdragon 4 Gen 2 5G ,6.88 , 8MP ,50MP Rear Camera ,5160,12247,386
